Esperanto,Dunianto,etimologio
ĝis,hat,ar: حَتَّى(ḥattā), sw: hatta, pt: até, es: hasta
glas,glas,
glu,glu,
glut,glut,
grado, mezuro (la neŭtrala signifo de “-ec-”),ud,zh: 度 (dù), ja: 度 (do)
gramatik,gramatik,
grand,grand,
grav,muhim,ar: muhimun, sw: muhimu, tr: mühim, fa: muhem
grup,grup,
ĝu,furah,ar (فَرَح “farah”), sw (furaha)
gust,swad·ij,
ĝust,sah,hi: sahi, ar:sahih, sw:sahih, fa: sahih
gust·um·i,swad·oc·i,
haŭt,cun·og,
hav,hav,
hejm,dom·oc,
help,help,
hieraŭ,can·din·e,
histori,histori,
hodiaŭ,je·din·e,
hom,hom,
hor,sat,tr (saat), fa (ساعت “saat”), id (saat), ar (ساعة “saea”)
horloĝ,temp·il,
hund,waf,onomatopeo
i,i,
ia,ia,
ial,ial,
iam,iam,
iĉ,ic,
id,id,
ide,ide,
ie,ie,
iel,iel,
ies,ies,
ig,ig,
iĝ,ij,
il,il,
ili,ili,
in,in,
ind,ind,
indik,indik,
infan,bac,hi: बच्चा (batca), fa: بچّه (bačče)
infinitiv,i·verb,
inform,jic·ig,
ing,ing,
instru,lern·ig,
int,int,
inter,inter,
interes,interes,
invit,ven·pet,
io,io,
iom,iom,
ip,ip,
ir,taf,ha: tafi
is,is,
ism,ism,
ist,ist,
it,it,
iu,iu,
j,y,
ja,ya,
jam,zaten,tr: zaten
Januar,Ak·ol,
jar,nen,ja: nen, zh: nián, ko: nyeon
ĵaŭd,kwar·var,
je,ye,
jen,je·lok·e estas,
ĵet,pa,
Juli,Sep·ol,
jun,yun,
Juni,Cic·ol,
just,adil,ar/id/tr:adil, fa: adel
kaj,kay,
kalkul,hesab,ar: حَسَبَ (hasaba), fa: “hesâb”, sw: hesabu, tr: hesap, hi: हिसाब (hisāb), bn:হিসাব (hiśab)
kamp,kamp,
kant,cant,zh: 唱 (chàng), fr: chanter, en: chant
kapr,mek,onomatopeo
kapt,kapt,es/pt: capturar, en: capture, tr: kapmak
kar,aziz,ar: عزيز (eaziz), fa: عزیز (aziz)
kat,miaw,
ke,ke,
kia,kia,
kial,kial,
kiam,kiam,
kie,kie,
kiel,kiel,
kies,kies,
kio,kio,
kiom,kiom,
kis,muah,onomatopeo
kiu,kiu,
klar,ming,zh: míng, ko: myeonghwag
kok,kok,
kombin,kun·ig,
komenc,kayc,zh: kāishǐ
komerc,komerc,
kompren,aham,ar: fahum, sw: -fahamu, id: paham, memahami, fa: fahm, en: aha moment, exclamation in many languages: 'mhm, aham
komunik,komunik,
kon,kon,
koncern,koncern,
konsonant,konsontant,
korv,korv,
kre,kre,
kred,iman,ar: iiman, sw: imani, tr: iman
krist·an·ism·o,krist·ism·o,
krom,krom,
krur,kal·oc,
kubut,man·oc·artik,
kultur,kultur,
kun,kun,
kun·met·aĵ·o,kun·glu·aj·o,
kurs,dars·ar,
kuŝ,let,hi: letana, ru: лежать (lejat‛)
kuz,itok·ic,ja: itoko
kvant,kwant,
kvar,kwar,
kvin,pen,fa: pændj, hi: pãtc, bn: pãs, en: pentagon, es/pt: pentágono, fr: pentagone
la,la,
lan,be·aly,
land,gu,zh: guó
lang,onge·og,
lecion,dars,ar: dars, fa: dars, tr: ders
leg,doc,zh: dúshū, ja: dokusho, vi: đọc, ko: dogseo
lern,lern,
li,ic·u,
li,u,
liber,hur,ar: hura, sw: huru
liberal,hur·em,
libr,kitab,ar/hi/id/fa: kitab, sw: kitabu, tr: kitap
lign,arb·aly,
likv,suy·oc,
lim,lim,
lingv,bas,hi, bn: [baʃa], id: bahasa
list,list,
liter,liter,
lok,lok,
long,long,
lud,kel,hi: खेलना (khelnā), bn: খেলতে (Khēlatē)
lum,lum,
lund,ak·var,
lup,au,onomatopeo
Maj,pen·ol,
mal,mal,
mal·antaŭ,mal·can,
